LAT,LON,YEAR,MO,DY,RH2M,day
22.78331,89.53331,2017,1,1,71.9,1
22.78331,89.53331,2017,1,2,70.41,2
22.78331,89.53331,2017,1,3,75.19,3
22.78331,89.53331,2017,1,4,74.23,4
22.78331,89.53331,2017,1,5,68.98,5
22.78331,89.53331,2017,1,6,64.56,6
22.78331,89.53331,2017,1,7,60.75,7
22.78331,89.53331,2017,1,8,60.03,8
22.78331,89.53331,2017,1,9,64.91,9
22.78331,89.53331,2017,1,10,68.45,10
22.78331,89.53331,2017,1,11,75.96,11
22.78331,89.53331,2017,1,12,67.41,12
22.78331,89.53331,2017,1,13,62.94,13
22.78331,89.53331,2017,1,14,57.59,14
22.78331,89.53331,2017,1,15,59.59,15
22.78331,89.53331,2017,1,16,56.48,16
22.78331,89.53331,2017,1,17,56.35,17
22.78331,89.53331,2017,1,18,59.83,18
22.78331,89.53331,2017,1,19,63.6,19
22.78331,89.53331,2017,1,20,58.02,20
22.78331,89.53331,2017,1,21,57,21
22.78331,89.53331,2017,1,22,54.33,22
22.78331,89.53331,2017,1,23,54.14,23
22.78331,89.53331,2017,1,24,57.78,24
22.78331,89.53331,2017,1,25,57.57,25
22.78331,89.53331,2017,1,26,57.73,26
22.78331,89.53331,2017,1,27,60.92,27
22.78331,89.53331,2017,1,28,64.67,28
22.78331,89.53331,2017,1,29,58.21,29
22.78331,89.53331,2017,1,30,57.32,30
22.78331,89.53331,2017,1,31,56.88,31
22.78331,89.53331,2017,2,1,53.27,32
22.78331,89.53331,2017,2,2,58.33,33
22.78331,89.53331,2017,2,3,55.1,34
22.78331,89.53331,2017,2,4,53.22,35
22.78331,89.53331,2017,2,5,50.79,36
22.78331,89.53331,2017,2,6,51.38,37
22.78331,89.53331,2017,2,7,52.86,38
22.78331,89.53331,2017,2,8,44.64,39
22.78331,89.53331,2017,2,9,36.68,40
22.78331,89.53331,2017,2,10,42.34,41
22.78331,89.53331,2017,2,11,47.41,42
22.78331,89.53331,2017,2,12,47.83,43
22.78331,89.53331,2017,2,13,46.2,44
22.78331,89.53331,2017,2,14,48.94,45
22.78331,89.53331,2017,2,15,48.45,46
22.78331,89.53331,2017,2,16,40.66,47
22.78331,89.53331,2017,2,17,38.81,48
22.78331,89.53331,2017,2,18,42.51,49
22.78331,89.53331,2017,2,19,53.85,50
22.78331,89.53331,2017,2,20,64.01,51
22.78331,89.53331,2017,2,21,66.21,52
22.78331,89.53331,2017,2,22,64.34,53
22.78331,89.53331,2017,2,23,61.91,54
22.78331,89.53331,2017,2,24,33.53,55
22.78331,89.53331,2017,2,25,26.36,56
22.78331,89.53331,2017,2,26,29.05,57
22.78331,89.53331,2017,2,27,36.49,58
22.78331,89.53331,2017,2,28,31.12,59
22.78331,89.53331,2017,3,1,29.18,60
22.78331,89.53331,2017,3,2,39.43,61
22.78331,89.53331,2017,3,3,48.42,62
22.78331,89.53331,2017,3,4,52,63
22.78331,89.53331,2017,3,5,58.99,64
22.78331,89.53331,2017,3,6,67.09,65
22.78331,89.53331,2017,3,7,57.13,66
22.78331,89.53331,2017,3,8,60.46,67
22.78331,89.53331,2017,3,9,70.75,68
22.78331,89.53331,2017,3,10,68.87,69
22.78331,89.53331,2017,3,11,87.89,70
22.78331,89.53331,2017,3,12,72.26,71
22.78331,89.53331,2017,3,13,56.69,72
22.78331,89.53331,2017,3,14,47.81,73
22.78331,89.53331,2017,3,15,43.43,74
22.78331,89.53331,2017,3,16,42.93,75
22.78331,89.53331,2017,3,17,56.29,76
22.78331,89.53331,2017,3,18,74.8,77
22.78331,89.53331,2017,3,19,65.52,78
22.78331,89.53331,2017,3,20,76.13,79
22.78331,89.53331,2017,3,21,64.77,80
22.78331,89.53331,2017,3,22,69.85,81
22.78331,89.53331,2017,3,23,72.6,82
22.78331,89.53331,2017,3,24,72.67,83
22.78331,89.53331,2017,3,25,74.22,84
22.78331,89.53331,2017,3,26,73.45,85
22.78331,89.53331,2017,3,27,72.52,86
22.78331,89.53331,2017,3,28,73.7,87
22.78331,89.53331,2017,3,29,74.62,88
22.78331,89.53331,2017,3,30,73.09,89
22.78331,89.53331,2017,3,31,72.94,90
22.78331,89.53331,2017,4,1,72.62,91
22.78331,89.53331,2017,4,2,71.88,92
22.78331,89.53331,2017,4,3,73.14,93
22.78331,89.53331,2017,4,4,73.07,94
22.78331,89.53331,2017,4,5,76.56,95
22.78331,89.53331,2017,4,6,78.36,96
22.78331,89.53331,2017,4,7,74.86,97
22.78331,89.53331,2017,4,8,72.3,98
22.78331,89.53331,2017,4,9,66.93,99
22.78331,89.53331,2017,4,10,65.24,100
22.78331,89.53331,2017,4,11,56.8,101
22.78331,89.53331,2017,4,12,55.65,102
22.78331,89.53331,2017,4,13,55.41,103
22.78331,89.53331,2017,4,14,57.66,104
22.78331,89.53331,2017,4,15,66.77,105
22.78331,89.53331,2017,4,16,65.89,106
22.78331,89.53331,2017,4,17,56.88,107
22.78331,89.53331,2017,4,18,64.01,108
22.78331,89.53331,2017,4,19,76.64,109
22.78331,89.53331,2017,4,20,79.77,110
22.78331,89.53331,2017,4,21,82.82,111
22.78331,89.53331,2017,4,22,85.14,112
22.78331,89.53331,2017,4,23,83.74,113
22.78331,89.53331,2017,4,24,84.31,114
22.78331,89.53331,2017,4,25,83.47,115
22.78331,89.53331,2017,4,26,83.72,116
22.78331,89.53331,2017,4,27,83.09,117
22.78331,89.53331,2017,4,28,83.13,118
22.78331,89.53331,2017,4,29,79.69,119
22.78331,89.53331,2017,4,30,83.14,120
22.78331,89.53331,2017,5,1,88.4,121
22.78331,89.53331,2017,5,2,77.82,122
22.78331,89.53331,2017,5,3,76.95,123
22.78331,89.53331,2017,5,4,75.38,124
22.78331,89.53331,2017,5,5,75.93,125
22.78331,89.53331,2017,5,6,79.07,126
22.78331,89.53331,2017,5,7,80.91,127
22.78331,89.53331,2017,5,8,79.75,128
22.78331,89.53331,2017,5,9,80.37,129
22.78331,89.53331,2017,5,10,77.57,130
22.78331,89.53331,2017,5,11,78.69,131
22.78331,89.53331,2017,5,12,71.89,132
22.78331,89.53331,2017,5,13,75.13,133
22.78331,89.53331,2017,5,14,78.24,134
22.78331,89.53331,2017,5,15,85.04,135
22.78331,89.53331,2017,5,16,84.1,136
22.78331,89.53331,2017,5,17,82.58,137
22.78331,89.53331,2017,5,18,86.33,138
22.78331,89.53331,2017,5,19,86.49,139
22.78331,89.53331,2017,5,20,82.71,140
22.78331,89.53331,2017,5,21,82.28,141
22.78331,89.53331,2017,5,22,82.71,142
22.78331,89.53331,2017,5,23,82.12,143
22.78331,89.53331,2017,5,24,80.9,144
22.78331,89.53331,2017,5,25,79.53,145
22.78331,89.53331,2017,5,26,80.28,146
22.78331,89.53331,2017,5,27,82.57,147
22.78331,89.53331,2017,5,28,73.47,148
22.78331,89.53331,2017,5,29,79.31,149
22.78331,89.53331,2017,5,30,90.56,150
22.78331,89.53331,2017,5,31,87.64,151
22.78331,89.53331,2017,6,1,92.51,152
22.78331,89.53331,2017,6,2,90.97,153
22.78331,89.53331,2017,6,3,90.3,154
22.78331,89.53331,2017,6,4,90.15,155
22.78331,89.53331,2017,6,5,91.57,156
22.78331,89.53331,2017,6,6,82.02,157
22.78331,89.53331,2017,6,7,77.99,158
22.78331,89.53331,2017,6,8,84.01,159
22.78331,89.53331,2017,6,9,87.34,160
22.78331,89.53331,2017,6,10,91.42,161
22.78331,89.53331,2017,6,11,92.83,162
22.78331,89.53331,2017,6,12,93.96,163
22.78331,89.53331,2017,6,13,93.05,164
22.78331,89.53331,2017,6,14,89.73,165
22.78331,89.53331,2017,6,15,91.15,166
22.78331,89.53331,2017,6,16,91.26,167
22.78331,89.53331,2017,6,17,88.09,168
22.78331,89.53331,2017,6,18,91.6,169
22.78331,89.53331,2017,6,19,94.53,170
22.78331,89.53331,2017,6,20,92.6,171
22.78331,89.53331,2017,6,21,91.46,172
22.78331,89.53331,2017,6,22,91.07,173
22.78331,89.53331,2017,6,23,89.64,174
22.78331,89.53331,2017,6,24,87.79,175
22.78331,89.53331,2017,6,25,88.61,176
22.78331,89.53331,2017,6,26,89.73,177
22.78331,89.53331,2017,6,27,92.09,178
22.78331,89.53331,2017,6,28,91.2,179
22.78331,89.53331,2017,6,29,90.65,180
22.78331,89.53331,2017,6,30,91.65,181
22.78331,89.53331,2017,7,1,93.18,182
22.78331,89.53331,2017,7,2,90.85,183
22.78331,89.53331,2017,7,3,94.23,184
22.78331,89.53331,2017,7,4,94.43,185
22.78331,89.53331,2017,7,5,90.95,186
22.78331,89.53331,2017,7,6,89.06,187
22.78331,89.53331,2017,7,7,88.3,188
22.78331,89.53331,2017,7,8,90.68,189
22.78331,89.53331,2017,7,9,88.45,190
22.78331,89.53331,2017,7,10,90.89,191
22.78331,89.53331,2017,7,11,92.39,192
22.78331,89.53331,2017,7,12,93.56,193
22.78331,89.53331,2017,7,13,92.42,194
22.78331,89.53331,2017,7,14,92.95,195
22.78331,89.53331,2017,7,15,89.33,196
22.78331,89.53331,2017,7,16,92.15,197
22.78331,89.53331,2017,7,17,90.12,198
22.78331,89.53331,2017,7,18,91.86,199
22.78331,89.53331,2017,7,19,93.92,200
22.78331,89.53331,2017,7,20,93.38,201
22.78331,89.53331,2017,7,21,92.21,202
22.78331,89.53331,2017,7,22,92.33,203
22.78331,89.53331,2017,7,23,94.89,204
22.78331,89.53331,2017,7,24,94.84,205
22.78331,89.53331,2017,7,25,93.83,206
22.78331,89.53331,2017,7,26,89.77,207
22.78331,89.53331,2017,7,27,89.36,208
22.78331,89.53331,2017,7,28,90.99,209
22.78331,89.53331,2017,7,29,91.49,210
22.78331,89.53331,2017,7,30,87.88,211
22.78331,89.53331,2017,7,31,87.28,212
22.78331,89.53331,2017,8,1,88.62,213
22.78331,89.53331,2017,8,2,88.92,214
22.78331,89.53331,2017,8,3,91.36,215
22.78331,89.53331,2017,8,4,88.19,216
22.78331,89.53331,2017,8,5,92.22,217
22.78331,89.53331,2017,8,6,90.7,218
22.78331,89.53331,2017,8,7,90.38,219
22.78331,89.53331,2017,8,8,90.8,220
22.78331,89.53331,2017,8,9,90.95,221
22.78331,89.53331,2017,8,10,92.28,222
22.78331,89.53331,2017,8,11,92.88,223
22.78331,89.53331,2017,8,12,94.49,224
22.78331,89.53331,2017,8,13,92.21,225
22.78331,89.53331,2017,8,14,90.7,226
22.78331,89.53331,2017,8,15,91.19,227
22.78331,89.53331,2017,8,16,93.26,228
22.78331,89.53331,2017,8,17,90.08,229
22.78331,89.53331,2017,8,18,91.82,230
22.78331,89.53331,2017,8,19,90.14,231
22.78331,89.53331,2017,8,20,89.29,232
22.78331,89.53331,2017,8,21,82.56,233
22.78331,89.53331,2017,8,22,85.89,234
22.78331,89.53331,2017,8,23,84.65,235
22.78331,89.53331,2017,8,24,89.42,236
22.78331,89.53331,2017,8,25,89.11,237
22.78331,89.53331,2017,8,26,92.85,238
22.78331,89.53331,2017,8,27,92,239
22.78331,89.53331,2017,8,28,93.01,240
22.78331,89.53331,2017,8,29,91.96,241
22.78331,89.53331,2017,8,30,90.7,242
22.78331,89.53331,2017,8,31,93.02,243
22.78331,89.53331,2017,9,1,94.73,244
22.78331,89.53331,2017,9,2,92.06,245
22.78331,89.53331,2017,9,3,90.62,246
22.78331,89.53331,2017,9,4,89.05,247
22.78331,89.53331,2017,9,5,90,248
22.78331,89.53331,2017,9,6,88.37,249
22.78331,89.53331,2017,9,7,91.5,250
22.78331,89.53331,2017,9,8,88.8,251
22.78331,89.53331,2017,9,9,89.65,252
22.78331,89.53331,2017,9,10,93.56,253
22.78331,89.53331,2017,9,11,92.58,254
22.78331,89.53331,2017,9,12,90.11,255
22.78331,89.53331,2017,9,13,92.58,256
22.78331,89.53331,2017,9,14,89.35,257
22.78331,89.53331,2017,9,15,83.28,258
22.78331,89.53331,2017,9,16,83.68,259
22.78331,89.53331,2017,9,17,90.64,260
22.78331,89.53331,2017,9,18,89.44,261
22.78331,89.53331,2017,9,19,93.45,262
22.78331,89.53331,2017,9,20,93.52,263
22.78331,89.53331,2017,9,21,93.11,264
22.78331,89.53331,2017,9,22,90.05,265
22.78331,89.53331,2017,9,23,90.89,266
22.78331,89.53331,2017,9,24,84.21,267
22.78331,89.53331,2017,9,25,86.63,268
22.78331,89.53331,2017,9,26,86.59,269
22.78331,89.53331,2017,9,27,84.82,270
22.78331,89.53331,2017,9,28,89.6,271
22.78331,89.53331,2017,9,29,94.2,272
22.78331,89.53331,2017,9,30,94.05,273
22.78331,89.53331,2017,10,1,91.35,274
22.78331,89.53331,2017,10,2,94.06,275
22.78331,89.53331,2017,10,3,86.45,276
22.78331,89.53331,2017,10,4,83.59,277
22.78331,89.53331,2017,10,5,87.41,278
22.78331,89.53331,2017,10,6,86.28,279
22.78331,89.53331,2017,10,7,91.59,280
22.78331,89.53331,2017,10,8,92.6,281
22.78331,89.53331,2017,10,9,95.01,282
22.78331,89.53331,2017,10,10,91.03,283
22.78331,89.53331,2017,10,11,86.42,284
22.78331,89.53331,2017,10,12,89.57,285
22.78331,89.53331,2017,10,13,88.92,286
22.78331,89.53331,2017,10,14,88.43,287
22.78331,89.53331,2017,10,15,80.37,288
22.78331,89.53331,2017,10,16,78.22,289
22.78331,89.53331,2017,10,17,78.6,290
22.78331,89.53331,2017,10,18,91.15,291
22.78331,89.53331,2017,10,19,94.96,292
22.78331,89.53331,2017,10,20,94.48,293
22.78331,89.53331,2017,10,21,94.52,294
22.78331,89.53331,2017,10,22,86.18,295
22.78331,89.53331,2017,10,23,82.83,296
22.78331,89.53331,2017,10,24,86.9,297
22.78331,89.53331,2017,10,25,80.15,298
22.78331,89.53331,2017,10,26,79.2,299
22.78331,89.53331,2017,10,27,67.56,300
22.78331,89.53331,2017,10,28,72.76,301
22.78331,89.53331,2017,10,29,76.6,302
22.78331,89.53331,2017,10,30,78.41,303
22.78331,89.53331,2017,10,31,80.39,304
22.78331,89.53331,2017,11,1,81.18,305
22.78331,89.53331,2017,11,2,78.19,306
22.78331,89.53331,2017,11,3,80.21,307
22.78331,89.53331,2017,11,4,78,308
22.78331,89.53331,2017,11,5,82.24,309
22.78331,89.53331,2017,11,6,83.86,310
22.78331,89.53331,2017,11,7,83.41,311
22.78331,89.53331,2017,11,8,82.06,312
22.78331,89.53331,2017,11,9,77.38,313
22.78331,89.53331,2017,11,10,76.42,314
22.78331,89.53331,2017,11,11,77.51,315
22.78331,89.53331,2017,11,12,80.42,316
22.78331,89.53331,2017,11,13,83.67,317
22.78331,89.53331,2017,11,14,81.48,318
22.78331,89.53331,2017,11,15,92.33,319
22.78331,89.53331,2017,11,16,93.43,320
22.78331,89.53331,2017,11,17,88.33,321
22.78331,89.53331,2017,11,18,86,322
22.78331,89.53331,2017,11,19,86.52,323
22.78331,89.53331,2017,11,20,83.06,324
22.78331,89.53331,2017,11,21,80.93,325
22.78331,89.53331,2017,11,22,72.15,326
22.78331,89.53331,2017,11,23,71.47,327
22.78331,89.53331,2017,11,24,77.58,328
22.78331,89.53331,2017,11,25,71.24,329
22.78331,89.53331,2017,11,26,74.05,330
22.78331,89.53331,2017,11,27,77.7,331
22.78331,89.53331,2017,11,28,68.97,332
22.78331,89.53331,2017,11,29,73.9,333
22.78331,89.53331,2017,11,30,82.35,334
22.78331,89.53331,2017,12,1,84.12,335
22.78331,89.53331,2017,12,2,78.81,336
22.78331,89.53331,2017,12,3,78.23,337
22.78331,89.53331,2017,12,4,81.16,338
22.78331,89.53331,2017,12,5,80.1,339
22.78331,89.53331,2017,12,6,81.21,340
22.78331,89.53331,2017,12,7,79.67,341
22.78331,89.53331,2017,12,8,89.78,342
22.78331,89.53331,2017,12,9,92.1,343
22.78331,89.53331,2017,12,10,93.62,344
22.78331,89.53331,2017,12,11,91.09,345
22.78331,89.53331,2017,12,12,85.86,346
22.78331,89.53331,2017,12,13,83.14,347
22.78331,89.53331,2017,12,14,79.67,348
22.78331,89.53331,2017,12,15,78.25,349
22.78331,89.53331,2017,12,16,78.81,350
22.78331,89.53331,2017,12,17,81.99,351
22.78331,89.53331,2017,12,18,86.82,352
22.78331,89.53331,2017,12,19,86.07,353
22.78331,89.53331,2017,12,20,80.01,354
22.78331,89.53331,2017,12,21,79.46,355
22.78331,89.53331,2017,12,22,79.88,356
22.78331,89.53331,2017,12,23,81.17,357
22.78331,89.53331,2017,12,24,81.46,358
22.78331,89.53331,2017,12,25,80.82,359
22.78331,89.53331,2017,12,26,80.29,360
22.78331,89.53331,2017,12,27,80.47,361
22.78331,89.53331,2017,12,28,83.21,362
22.78331,89.53331,2017,12,29,87.1,363
22.78331,89.53331,2017,12,30,84.25,364
22.78331,89.53331,2017,12,31,82.36,365
22.78331,89.53331,2018,1,1,82.35,366
22.78331,89.53331,2018,1,2,82.72,367
22.78331,89.53331,2018,1,3,74.22,368
22.78331,89.53331,2018,1,4,72.94,369
22.78331,89.53331,2018,1,5,76.01,370
22.78331,89.53331,2018,1,6,69.32,371
22.78331,89.53331,2018,1,7,64.52,372
22.78331,89.53331,2018,1,8,64.99,373
22.78331,89.53331,2018,1,9,68.34,374
22.78331,89.53331,2018,1,10,67.59,375
22.78331,89.53331,2018,1,11,70.98,376
22.78331,89.53331,2018,1,12,72.87,377
22.78331,89.53331,2018,1,13,74.52,378
22.78331,89.53331,2018,1,14,82.8,379
22.78331,89.53331,2018,1,15,70.67,380
22.78331,89.53331,2018,1,16,68.81,381
22.78331,89.53331,2018,1,17,69.5,382
22.78331,89.53331,2018,1,18,68.4,383
22.78331,89.53331,2018,1,19,64.27,384
22.78331,89.53331,2018,1,20,60.74,385
22.78331,89.53331,2018,1,21,64.9,386
22.78331,89.53331,2018,1,22,62.05,387
22.78331,89.53331,2018,1,23,59.39,388
22.78331,89.53331,2018,1,24,59.9,389
22.78331,89.53331,2018,1,25,70.32,390
22.78331,89.53331,2018,1,26,64.35,391
22.78331,89.53331,2018,1,27,62.26,392
22.78331,89.53331,2018,1,28,57.44,393
22.78331,89.53331,2018,1,29,56.77,394
22.78331,89.53331,2018,1,30,56.15,395
22.78331,89.53331,2018,1,31,58.81,396
22.78331,89.53331,2018,2,1,66.99,397
22.78331,89.53331,2018,2,2,62.59,398
22.78331,89.53331,2018,2,3,62.82,399
22.78331,89.53331,2018,2,4,67.56,400
22.78331,89.53331,2018,2,5,70.04,401
22.78331,89.53331,2018,2,6,68.87,402
22.78331,89.53331,2018,2,7,64.07,403
22.78331,89.53331,2018,2,8,57.34,404
22.78331,89.53331,2018,2,9,59.51,405
22.78331,89.53331,2018,2,10,71.93,406
22.78331,89.53331,2018,2,11,52.91,407
22.78331,89.53331,2018,2,12,51.21,408
22.78331,89.53331,2018,2,13,57.36,409
22.78331,89.53331,2018,2,14,64.65,410
22.78331,89.53331,2018,2,15,57.56,411
22.78331,89.53331,2018,2,16,51.23,412
22.78331,89.53331,2018,2,17,52.56,413
22.78331,89.53331,2018,2,18,54.47,414
22.78331,89.53331,2018,2,19,53.3,415
22.78331,89.53331,2018,2,20,60.8,416
22.78331,89.53331,2018,2,21,54.91,417
22.78331,89.53331,2018,2,22,54.72,418
22.78331,89.53331,2018,2,23,52.6,419
22.78331,89.53331,2018,2,24,58.27,420
22.78331,89.53331,2018,2,25,53.75,421
22.78331,89.53331,2018,2,26,59.21,422
22.78331,89.53331,2018,2,27,59.45,423
22.78331,89.53331,2018,2,28,56.18,424
22.78331,89.53331,2018,3,1,51.63,425
22.78331,89.53331,2018,3,2,48.83,426
22.78331,89.53331,2018,3,3,53.63,427
22.78331,89.53331,2018,3,4,57.9,428
22.78331,89.53331,2018,3,5,54.28,429
22.78331,89.53331,2018,3,6,41.83,430
22.78331,89.53331,2018,3,7,37.26,431
22.78331,89.53331,2018,3,8,32.21,432
22.78331,89.53331,2018,3,9,32.74,433
22.78331,89.53331,2018,3,10,33.78,434
22.78331,89.53331,2018,3,11,38.84,435
22.78331,89.53331,2018,3,12,46.75,436
22.78331,89.53331,2018,3,13,48.69,437
22.78331,89.53331,2018,3,14,45.81,438
22.78331,89.53331,2018,3,15,46.75,439
22.78331,89.53331,2018,3,16,58.78,440
22.78331,89.53331,2018,3,17,47.88,441
22.78331,89.53331,2018,3,18,46.92,442
22.78331,89.53331,2018,3,19,41,443
22.78331,89.53331,2018,3,20,31.45,444
22.78331,89.53331,2018,3,21,40.03,445
22.78331,89.53331,2018,3,22,47.37,446
22.78331,89.53331,2018,3,23,54.24,447
22.78331,89.53331,2018,3,24,58.01,448
22.78331,89.53331,2018,3,25,50.95,449
22.78331,89.53331,2018,3,26,53.82,450
22.78331,89.53331,2018,3,27,52.45,451
22.78331,89.53331,2018,3,28,51.55,452
22.78331,89.53331,2018,3,29,57.2,453
22.78331,89.53331,2018,3,30,59.81,454
22.78331,89.53331,2018,3,31,72.87,455
22.78331,89.53331,2018,4,1,68.51,456
22.78331,89.53331,2018,4,2,68.32,457
22.78331,89.53331,2018,4,3,51.02,458
22.78331,89.53331,2018,4,4,49.56,459
22.78331,89.53331,2018,4,5,63.2,460
22.78331,89.53331,2018,4,6,68.45,461
22.78331,89.53331,2018,4,7,76.49,462
22.78331,89.53331,2018,4,8,76.76,463
22.78331,89.53331,2018,4,9,72.36,464
22.78331,89.53331,2018,4,10,68.93,465
22.78331,89.53331,2018,4,11,66.17,466
22.78331,89.53331,2018,4,12,65.04,467
22.78331,89.53331,2018,4,13,68.1,468
22.78331,89.53331,2018,4,14,69.74,469
22.78331,89.53331,2018,4,15,67.63,470
22.78331,89.53331,2018,4,16,65.02,471
22.78331,89.53331,2018,4,17,66.65,472
22.78331,89.53331,2018,4,18,73.86,473
22.78331,89.53331,2018,4,19,76.39,474
22.78331,89.53331,2018,4,20,74.5,475
22.78331,89.53331,2018,4,21,76.58,476
22.78331,89.53331,2018,4,22,79.6,477
22.78331,89.53331,2018,4,23,74.59,478
22.78331,89.53331,2018,4,24,68.85,479
22.78331,89.53331,2018,4,25,70.88,480
22.78331,89.53331,2018,4,26,76.65,481
22.78331,89.53331,2018,4,27,75.08,482
22.78331,89.53331,2018,4,28,68.69,483
22.78331,89.53331,2018,4,29,72.45,484
22.78331,89.53331,2018,4,30,82.35,485
22.78331,89.53331,2018,5,1,79.61,486
22.78331,89.53331,2018,5,2,80.3,487
22.78331,89.53331,2018,5,3,80.31,488
22.78331,89.53331,2018,5,4,77.32,489
22.78331,89.53331,2018,5,5,80.03,490
22.78331,89.53331,2018,5,6,78.58,491
22.78331,89.53331,2018,5,7,79.17,492
22.78331,89.53331,2018,5,8,75.27,493
22.78331,89.53331,2018,5,9,78.1,494
22.78331,89.53331,2018,5,10,77.35,495
22.78331,89.53331,2018,5,11,81.36,496
22.78331,89.53331,2018,5,12,78.73,497
22.78331,89.53331,2018,5,13,83.07,498
22.78331,89.53331,2018,5,14,82.61,499
22.78331,89.53331,2018,5,15,78.86,500
22.78331,89.53331,2018,5,16,87.97,501
22.78331,89.53331,2018,5,17,81.97,502
22.78331,89.53331,2018,5,18,83.24,503
22.78331,89.53331,2018,5,19,82.85,504
22.78331,89.53331,2018,5,20,81.26,505
22.78331,89.53331,2018,5,21,82.53,506
22.78331,89.53331,2018,5,22,82.62,507
22.78331,89.53331,2018,5,23,89.88,508
22.78331,89.53331,2018,5,24,88.6,509
22.78331,89.53331,2018,5,25,87.76,510
22.78331,89.53331,2018,5,26,88.49,511
22.78331,89.53331,2018,5,27,87.35,512
22.78331,89.53331,2018,5,28,84.97,513
22.78331,89.53331,2018,5,29,79.73,514
22.78331,89.53331,2018,5,30,77.46,515
22.78331,89.53331,2018,5,31,89.45,516
22.78331,89.53331,2018,6,1,91.85,517
22.78331,89.53331,2018,6,2,88.97,518
22.78331,89.53331,2018,6,3,87.57,519
22.78331,89.53331,2018,6,4,89.88,520
22.78331,89.53331,2018,6,5,86.3,521
22.78331,89.53331,2018,6,6,83.97,522
22.78331,89.53331,2018,6,7,83.95,523
22.78331,89.53331,2018,6,8,88.21,524
22.78331,89.53331,2018,6,9,84.77,525
22.78331,89.53331,2018,6,10,94.15,526
22.78331,89.53331,2018,6,11,94.01,527
22.78331,89.53331,2018,6,12,94.42,528
22.78331,89.53331,2018,6,13,91.57,529
22.78331,89.53331,2018,6,14,91.87,530
22.78331,89.53331,2018,6,15,90.26,531
22.78331,89.53331,2018,6,16,89.2,532
22.78331,89.53331,2018,6,17,85.01,533
22.78331,89.53331,2018,6,18,87.31,534
22.78331,89.53331,2018,6,19,89.41,535
22.78331,89.53331,2018,6,20,90.59,536
22.78331,89.53331,2018,6,21,91.04,537
22.78331,89.53331,2018,6,22,91.24,538
22.78331,89.53331,2018,6,23,91.54,539
22.78331,89.53331,2018,6,24,94.66,540
22.78331,89.53331,2018,6,25,92.45,541
22.78331,89.53331,2018,6,26,90.2,542
22.78331,89.53331,2018,6,27,91.57,543
22.78331,89.53331,2018,6,28,90.97,544
22.78331,89.53331,2018,6,29,89.01,545
22.78331,89.53331,2018,6,30,88.53,546
22.78331,89.53331,2018,7,1,90.14,547
22.78331,89.53331,2018,7,2,90.13,548
22.78331,89.53331,2018,7,3,92.43,549
22.78331,89.53331,2018,7,4,93.16,550
22.78331,89.53331,2018,7,5,86.87,551
